Title,Location,Price,Area
Apartment Pantograafstraat,            1019 XX Amsterdam (Oostelijk Havengebied)        ,"                €1,305 per month            ",61 m²
Apartment Praterlaan,            1098 WR Amsterdam (Middenmeer)        ,"                €1,750 per month            ",70 m²
Apartment Pantograafstraat,            1019 XX Amsterdam (Oostelijk Havengebied)        ,"                €1,865 per month            ",98 m²
Apartment Pantograafstraat,            1019 XX Amsterdam (Oostelijk Havengebied)        ,"                €1,720 per month            ",95 m²
Studio Wibautstraat 150,            1091 GR Amsterdam (Weesperzijde)        ,"                €3,250 per month            ",40 m²
Apartment Paramaribostraat 156 1,            1058 VR Amsterdam (Westindische Buurt)        ,"                €2,950 per month            ",102 m²
Apartment Hoendiepstraat 50 H,            1079 LX Amsterdam (Rijnbuurt)        ,"                €2,200 per month            ",70 m²
Apartment Zandstrooierstraat,            1019 XZ Amsterdam (Oostelijk Havengebied)        ,"                €1,915 per month            ",95 m²
Apartment Grasweg 278,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,446 per month            ",62 m²
Apartment Kalverstraat,            1012 PH Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,750 per month            ",110 m²
Apartment Peelstraat 44,            1079 RN Amsterdam (Scheldebuurt)        ,"                €1,760 per month            ",92 m²
Apartment Bos en Lommerplantsoen,            1055 AA Amsterdam (De Kolenkit)        ,"                €4,500 per month            ",50 m²
House Leliegracht,            1015 DH Amsterdam (Grachtengordel-West)        ,"                €3,500 per month            ",118 m²
Apartment Burgemeester Cramergracht 139,            1064 AK Amsterdam (Slotermeer-Zuidwest)        ,"                €1,400 per month            ",65 m²
Apartment Cornelis Vermuydenstraat 39,            1018 RN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,663 per month            ",74 m²
Apartment Grasweg 124,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,154 per month            ",106 m²
Apartment Grasweg 344,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,773 per month            ",74 m²
Apartment Grasweg 138,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,540 per month            ",69 m²
Apartment Grasweg 292,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,447 per month            ",63 m²
Apartment Grasweg 152,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,367 per month            ",62 m²
Apartment Grasweg 262,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,205 per month            ",47 m²
Apartment Grasweg 142,            1031 HX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,138 per month            ",48 m²
Apartment Albert Cuypstraat 143 3,            1072 CS Amsterdam (Oude Pijp)        ,"                €3,500 per month            ",53 m²
Apartment Linnaeusstraat,            1092 CK Amsterdam (Oosterparkbuurt)        ,"                €3,475 per month            ",153 m²
Apartment Eerste Egelantiersdwarsstraat,            1015 RW Amsterdam (Jordaan)        ,"                €2,175 per month            ",46 m²
Studio August Allebéplein,            1062 AC Amsterdam (Overtoomse Veld)        ,                €673 per month            ,30 m²
Apartment Prinsengracht,            1016 GV Amsterdam (Grachtengordel-West)        ,"                €4,500 per month            ",100 m²
Apartment Teilingen,            1082 JR Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",130 m²
Apartment Teilingen,            1082 JR Amsterdam (Buitenveldert-West)        ,"                €2,450 per month            ",130 m²
Apartment Beysterveld 189,            1083 KD Amsterdam (Buitenveldert-Oost)        ,"                €7,500 per month            ",195 m²
Apartment NDSM-kade,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,654 per month            ",129 m²
Apartment Stromarkt,            1012 SW Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,350 per month            ",65 m²
Apartment Beulingstraat,            1017 BA Amsterdam (Grachtengordel-Zuid)        ,"                €3,300 per month            ",120 m²
Apartment Voorsteven 92,            1034 SP Amsterdam (Banne Buiksloot)        ,"                €2,650 per month            ",95 m²
Apartment Javakade,            1019 RV Amsterdam (Oostelijk Havengebied)        ,"                €2,250 per month            ",114 m²
Apartment Amstelveenseweg,            1075 XL Amsterdam (Schinkelbuurt)        ,"                €1,950 per month            ",82 m²
Apartment Stadionweg,            1077 ST Amsterdam (Apollobuurt)        ,"                €2,700 per month            ",120 m²
Apartment Paramaribostraat 156 1,            1058 VR Amsterdam (Westindische Buurt)        ,"                €2,950 per month            ",102 m²
Apartment Hoendiepstraat 50 H,            1079 LX Amsterdam (Rijnbuurt)        ,"                €2,200 per month            ",70 m²
Apartment John Blankensteinstraat,            1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €3,400 per month            ",105 m²
Apartment Wolbrantskerkweg,            1069 DA Amsterdam (Osdorp-Midden)        ,"                €2,200 per month            ",132 m²
Studio Elizabeth Cady Stantonplein,"            1102 BL Amsterdam (Bijlmer Centrum (D,F,H))        ",                €655 per month            ,30 m²
Apartment Tasmanstraat 3,            1013 PW Amsterdam (Houthavens)        ,"                €2,150 per month            ",100 m²
Apartment Ditlaar,            1066 EE Amsterdam (Sloter-/Riekerpolder)        ,"                €2,350 per month            ",40 m²
Apartment Koningin Wilhelminaplein,            1062 KS Amsterdam (Westlandgracht)        ,"                €2,050 per month            ",90 m²
Apartment IJdok,            1013 MM Amsterdam (Haarlemmerbuurt)        ,"                €2,550 per month            ",55 m²
Apartment Amstelveenseweg,            1075 XL Amsterdam (Schinkelbuurt)        ,"                €2,350 per month            ",70 m²
Apartment Koningin Wilhelminaplein,            1062 KS Amsterdam (Westlandgracht)        ,"                €2,250 per month            ",105 m²
Apartment Koningin Wilhelminaplein,            1062 KS Amsterdam (Westlandgracht)        ,"                €2,050 per month            ",90 m²
Apartment Frieslandstraat 61,            1082 TL Amsterdam (Buitenveldert-West)        ,"                €1,900 per month            ",75 m²
Apartment Reguliersbreestraat 2 A1,            1017 CN Amsterdam (Grachtengordel-Zuid)        ,"                €1,600 per month            ",40 m²
Apartment Monnikenstraat 18 1,            1012 BP Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,750 per month            ",55 m²
Apartment Prinsengracht 776 2,            1017 LE Amsterdam (De Weteringschans)        ,"                €1,950 per month            ",70 m²
Apartment Vrijheidslaan 91 II,            1079 KJ Amsterdam (Scheldebuurt)        ,"                €1,800 per month            ",68 m²
Apartment Zeeburgerkade 670,            1019 HS Amsterdam (Oostelijk Havengebied)        ,"                €1,800 per month            ",75 m²
Apartment Buitendraaierij 10,            1021 NN Amsterdam (IJplein/Vogelbuurt)        ,"                €1,550 per month            ",46 m²
Apartment Plantage Parklaan 5 II,            1018 SP Amsterdam (Weesperbuurt/Plantage)        ,"                €1,850 per month            ",64 m²
Apartment Koxhorn 28,            1082 EW Amsterdam (Buitenveldert-West)        ,"                €1,900 per month            ",80 m²
Apartment Loenermark 468 PP,            1025 TP Amsterdam (Buikslotermeer)        ,"                €1,750 per month            ",79 m²
Apartment Schierstins 157,            1082 TG Amsterdam (Buitenveldert-West)        ,"                €2,000 per month            ",70 m²
Apartment Iepenplein,            1091 JR Amsterdam (Oosterparkbuurt)        ,"                €1,900 per month            ",80 m²
Apartment Bella Vistastraat 318,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €4,250 per month            ",150 m²
Apartment Kea Boumanstraat 54 B,            1095 MA Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,850 per month            ",70 m²
Apartment Nicolaas Maesstraat,            1071 RC Amsterdam (Museumkwartier)        ,"                €2,000 per month            ",80 m²
Apartment Anna van den Vondelstraat 15 D,            1054 GX Amsterdam (Vondelbuurt)        ,"                €2,200 per month            ",67 m²
Apartment Bronckhorststraat 44 1,            1071 WV Amsterdam (Museumkwartier)        ,"                €2,250 per month            ",90 m²
Apartment Bos en Lommerweg 28 H,            1055 EB Amsterdam (Landlust)        ,"                €1,550 per month            ",46 m²
Apartment Sint Willibrordusstraat 111 E,            1073 VB Amsterdam (Nieuwe Pijp)        ,"                €1,925 per month            ",49 m²
Apartment Oeverpad 154,            1068 PH Amsterdam (Osdorp-Oost)        ,"                €1,750 per month            ",85 m²
Apartment Hoendiepstraat 50 H,            1079 LX Amsterdam (Rijnbuurt)        ,"                €2,200 per month            ",70 m²
Apartment Paramaribostraat 156 1,            1058 VR Amsterdam (Westindische Buurt)        ,"                €2,950 per month            ",102 m²
Apartment Anjeliersstraat,            1015 NE Amsterdam (Jordaan)        ,"                €3,000 per month            ",106 m²
Apartment Herengracht,            1017 BR Amsterdam (Grachtengordel-Zuid)        ,"                €2,350 per month            ",102 m²
House Cycladenlaan 104,            1060 LZ Amsterdam (Middelveldsche Akerpolder)        ,"                €3,400 per month            ",192 m²
Apartment Eva Besnyöstraat 379,            1087 LG Amsterdam (IJburg Zuid)        ,"                €1,900 per month            ",81 m²
Apartment Sausalitolaan 132,            1031 KE Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,750 per month            ",132 m²
Apartment Commelinstraat,            1093 TS Amsterdam (Dapperbuurt)        ,"                €4,200 per month            ",140 m²
Apartment Overtoom 114 2,            1054 HM Amsterdam (Helmersbuurt)        ,"                €1,750 per month            ",45 m²
Apartment Albrecht Dürerstraat 39 II,            1077 LX Amsterdam (Apollobuurt)        ,"                €3,900 per month            ",186 m²
Apartment Ruyschstraat 87 P,            1091 BX Amsterdam (Oosterparkbuurt)        ,"                €2,500 per month            ",85 m²
Apartment Marie Heinekenplein 1002,            1072 MN Amsterdam (Oude Pijp)        ,"                €3,000 per month            ",107 m²
Apartment Albatrospad 92,            1021 TR Amsterdam (IJplein/Vogelbuurt)        ,"                €1,800 per month            ",85 m²
Apartment Lomanstraat 60 2,            1075 RD Amsterdam (Willemspark)        ,"                €2,250 per month            ",60 m²
Apartment Wamelstraat,            1106 DL Amsterdam (Gein)        ,"                €1,425 per month            ",60 m²
Apartment Bolestein,            1081 EJ Amsterdam (Buitenveldert-West)        ,"                €1,950 per month            ",100 m²
Apartment Kranenburg 41,            1083 JM Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",82 m²
Apartment Kerkstraat 253 C,            1017 GW Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",121 m²
Apartment Tweede Jan Steenstraat 110 I,            1074 CT Amsterdam (Oude Pijp)        ,"                €2,250 per month            ",72 m²
Apartment Vaartstraat 62 A,            1075 RR Amsterdam (Schinkelbuurt)        ,"                €2,300 per month            ",65 m²
Apartment Loenermark 118,            1025 SL Amsterdam (Buikslotermeer)        ,"                €1,850 per month            ",80 m²
Apartment Esther de Boer-van Rijkstraat 56 2,            1065 GP Amsterdam (Slotervaart Zuid)        ,"                €2,500 per month            ",95 m²
Apartment Talbotstraat 209,            1087 DM Amsterdam (IJburg West)        ,"                €1,950 per month            ",101 m²
Apartment Eerste Helmersstraat,            1054 DW Amsterdam (Helmersbuurt)        ,"                €3,200 per month            ",134 m²
Apartment Nieuwe Prinsengracht,            1018 VV Amsterdam (Weesperbuurt/Plantage)        ,"                €2,800 per month            ",114 m²
Apartment Weesperzijde 6 3,            1091 EA Amsterdam (Weesperzijde)        ,"                €2,600 per month            ",92 m²
Apartment Govert Flinckstraat 296 3,            1073 CH Amsterdam (Oude Pijp)        ,"                €2,250 per month            ",84 m²
Apartment Rozengracht,            1016 ND Amsterdam (Jordaan)        ,"                €2,100 per month            ",77 m²
Apartment Grevelingenstraat,            1078 KM Amsterdam (Scheldebuurt)        ,"                €3,250 per month            ",152 m²
House Utrechtsedwarsstraat 112,            1017 WJ Amsterdam (De Weteringschans)        ,"                €4,900 per month            ",197 m²
Apartment Koninginneweg 144 III,            1075 ED Amsterdam (Willemspark)        ,"                €2,700 per month            ",90 m²
Apartment Groenhoedenveem,            1019 HM Amsterdam (Oostelijk Havengebied)        ,"                €2,750 per month            ",137 m²
Apartment Hoendiepstraat 50 H,            1079 LX Amsterdam (Rijnbuurt)        ,"                €2,200 per month            ",70 m²
Apartment Paramaribostraat 156 1,            1058 VR Amsterdam (Westindische Buurt)        ,"                €2,950 per month            ",102 m²
Apartment Nieuwezijds Voorburgwal 308 E,            1012 RV Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,500 per month            ",96 m²
Apartment Herengracht 270 N,            1016 BW Amsterdam (Grachtengordel-West)        ,"                €3,000 per month            ",125 m²
Apartment Vechtstraat 184 HS,            1079 JW Amsterdam (Rijnbuurt)        ,"                €1,850 per month            ",92 m²
Apartment Kribbestraat,            1079 WN Amsterdam (Rijnbuurt)        ,"                €1,650 per month            ",57 m²
Apartment Kinderdijkstraat 10 H,            1079 GH Amsterdam (Scheldebuurt)        ,"                €2,150 per month            ",70 m²
Apartment Goudsbloemstraat 183 I,            1015 JN Amsterdam (Jordaan)        ,"                €1,950 per month            ",60 m²
Apartment Pontsteiger,            1014 ZP Amsterdam (Houthavens)        ,"                €3,950 per month            ",147 m²
Apartment Bilderdijkkade 50 C 4,            1053 VN Amsterdam (Kinkerbuurt)        ,"                €3,250 per month            ",103 m²
Apartment Utrechtsedwarsstraat 140 C,            1017 WK Amsterdam (De Weteringschans)        ,"                €2,950 per month            ",105 m²
Apartment Singel 518 A,            1017 AX Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",105 m²
Apartment Vierwindendwarsstraat 9 I,            1013 LB Amsterdam (Haarlemmerbuurt)        ,"                €1,650 per month            ",42 m²
Apartment Rooseveltlaan 168 2,            1078 NT Amsterdam (Scheldebuurt)        ,"                €2,550 per month            ",101 m²
Apartment Van Nijenrodeweg 80,            1083 EE Amsterdam (Buitenveldert-Oost)        ,"                €2,150 per month            ",90 m²
Apartment Valeriusstraat 219 2,            1075 EZ Amsterdam (Willemspark)        ,"                €5,500 per month            ",193 m²
House Egelantiersgracht 103,            1015 RG Amsterdam (Jordaan)        ,"                €3,495 per month            ",110 m²
Apartment Amstelkade,            1078 AZ Amsterdam (Scheldebuurt)        ,"                €2,500 per month            ",93 m²
Apartment Wilhelminastraat 29 2,            1054 VV Amsterdam (Helmersbuurt)        ,"                €2,000 per month            ",53 m²
House Achtergracht 32 hs,            1017 WP Amsterdam (De Weteringschans)        ,"                €2,250 per month            ",80 m²
Apartment Borssenburgplein,            1078 TZ Amsterdam (IJselbuurt)        ,"                €2,035 per month            ",73 m²
Apartment Valeriusstraat,            1075 GC Amsterdam (Willemspark)        ,"                €5,500 per month            ",210 m²
Apartment Cliostraat 12 I,            1077 KG Amsterdam (Apollobuurt)        ,"                €4,950 per month            ",131 m²
Apartment VOC-kade 78,            1018 LG Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,650 per month            ",88 m²
Apartment Singel 518,            1017 AX Amsterdam (Grachtengordel-Zuid)        ,"                €2,750 per month            ",105 m²
Apartment Insulindeweg,            1094 NZ Amsterdam (Indische Buurt West)        ,"                €2,450 per month            ",71 m²
Apartment Distelweg 269,            1031 HD Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,672 per month            ",69 m²
House Amstelbeststraat 4,            1096 GD Amsterdam (Omval/Overamstel)        ,"                €8,750 per month            ",324 m²
Apartment Keizersgracht,            1017 EH Amsterdam (Grachtengordel-Zuid)        ,"                €3,400 per month            ",110 m²
Apartment Vondelstraat,            1054 GJ Amsterdam (Vondelbuurt)        ,"                €2,750 per month            ",90 m²
Apartment Van Spilbergenstraat 166 L,            1057 RR Amsterdam (Hoofdweg e.o.)        ,"                €1,400 per month            ",44 m²
Apartment Leliegracht 12 1,            1015 DE Amsterdam (Grachtengordel-West)        ,"                €2,250 per month            ",95 m²
Apartment Hoendiepstraat 50 H,            1079 LX Amsterdam (Rijnbuurt)        ,"                €2,200 per month            ",70 m²
Apartment Paramaribostraat 156 1,            1058 VR Amsterdam (Westindische Buurt)        ,"                €2,950 per month            ",102 m²
Apartment Leliegracht 12 II,            1015 DE Amsterdam (Grachtengordel-West)        ,"                €3,400 per month            ",160 m²
